"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","D1","Compensation of employees","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,1250708,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,1256914,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,1293606,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,1349842,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,1403513,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,1444171,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,1501769,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,1561976,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,1622728,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,1693196,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,1770856,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1845183,,
"DEU","Germany","D1","Compensation of employees","C","Current prices","2020","2020","EUR","Euro","6","Millions",,,1841601,"P","Provisional value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1970","1970","ISK","Iceland Krona","6","Millions",,,221.357,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1971","1971","ISK","Iceland Krona","6","Millions",,,288.556,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1972","1972","ISK","Iceland Krona","6","Millions",,,352.489,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1973","1973","ISK","Iceland Krona","6","Millions",,,491.064,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1974","1974","ISK","Iceland Krona","6","Millions",,,737.665,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1975","1975","ISK","Iceland Krona","6","Millions",,,986.62,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1976","1976","ISK","Iceland Krona","6","Millions",,,1339.393,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1977","1977","ISK","Iceland Krona","6","Millions",,,1977.456,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1978","1978","ISK","Iceland Krona","6","Millions",,,3153.334,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1979","1979","ISK","Iceland Krona","6","Millions",,,4792.954,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1980","1980","ISK","Iceland Krona","6","Millions",,,7581.413,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1981","1981","ISK","Iceland Krona","6","Millions",,,11766.691,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1982","1982","ISK","Iceland Krona","6","Millions",,,18431.476,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1983","1983","ISK","Iceland Krona","6","Millions",,,28969.847,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1984","1984","ISK","Iceland Krona","6","Millions",,,37645.815,"E","Estimated value"
"ISL","Iceland","D1","Compensation of employees","C","Current prices","1985","1985","ISK","Iceland Krona","6","Millions",,,55184.021,"E","Estimated value"
