"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2001","200","Canadian dollar","1993","Western calendar year","128521000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2001","100","Canadian dollar                         ","1993","Western calendar year","128521000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2001","1000","Canadian dollar","2008","Western calendar year","53178000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2001","200","Canadian dollar","1993","Western calendar year","53178000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2001","100","Canadian dollar                         ","1993","Western calendar year","53950000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2000","1000","Canadian dollar","2008","Western calendar year","125770000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2000","200","Canadian dollar","1993","Western calendar year","128340000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","2000","100","Canadian dollar                         ","1993","Western calendar year","128340000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2000","1000","Canadian dollar","2008","Western calendar year","49748000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2000","200","Canadian dollar","1993","Western calendar year","49748000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","2000","100","Canadian dollar                         ","1993","Western calendar year","50100000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1999","1000","Canadian dollar","2008","Western calendar year","121050000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1999","200","Canadian dollar","1993","Western calendar year","123420000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1999","100","Canadian dollar                         ","1993","Western calendar year","123420000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1999","1000","Canadian dollar","2008","Western calendar year","45721000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1999","200","Canadian dollar","1993","Western calendar year","45721000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1999","100","Canadian dollar                         ","1993","Western calendar year","45721000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1998","1000","Canadian dollar","2008","Western calendar year","114024000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1998","200","Canadian dollar","1993","Western calendar year","117338000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1998","100","Canadian dollar                         ","1993","Western calendar year","117338000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1998","1000","Canadian dollar","2008","Western calendar year","43465000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1998","200","Canadian dollar","1993","Western calendar year","43465000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1998","100","Canadian dollar                         ","1993","Western calendar year","43465000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1997","1000","Canadian dollar","2008","Western calendar year","110574000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1997","200","Canadian dollar","1993","Western calendar year","113846000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1997","100","Canadian dollar                         ","1993","Western calendar year","113846000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1997","1000","Canadian dollar","2008","Western calendar year","42029000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1997","200","Canadian dollar","1993","Western calendar year","42029000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1997","100","Canadian dollar                         ","1993","Western calendar year","42029000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1996","1000","Canadian dollar","2008","Western calendar year","104295000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1996","200","Canadian dollar","1993","Western calendar year","108166000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1996","100","Canadian dollar                         ","1993","Western calendar year","108166000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1996","1000","Canadian dollar","2008","Western calendar year","39980000000",""
